Real_Name,paper_name,EstimatedLonePairs,num_electroneg_1_3_neighbors,mean_ring_planarity,ElectronegativitySum,Net partial charge,NCO_count,num_nitrogens,num_oxygens,num_sulfurs,num_hbd,num_hba,num_carbon_aromatic_rings,num_nitrogen_aromatic_rings,num_all_cycle_atoms,num_cycle_nitrogens,num_cycle_oxygens,num_cycle_sulfurs,num_cycle_carbons,pore_avg,pore_median,pore_std
hub,hub,16.0,0,0.3491,280.88,-0.001,8,8,4,0,4,4,2,0,26,8,0,0,18,2.497397676767677,1.81972,2.835602897067257
hub4,H36,12.0,0,0.2378,239.6,1.995,4,6,4,0,4,4,2,2,30,4,0,0,26,3.759476035184168,2.24513,3.973876542723928
dcbzdb1,dcbzdb1,80.0,0,0.9718,454.44,-0.003,12,16,24,8,20,36,2,2,54,8,0,8,38,2.535962558139534,0.8837399999999999,4.680994329566422
dcbzdb2,dcbzdb2,74.0,0,0.9378,406.3,0.001,8,10,24,8,20,34,2,0,44,4,0,8,32,2.115550594059406,1.33276,2.3841584575984585
dcddc1,dcddc1,64.0,0,0.1214,435.28,-0.009,10,12,22,4,18,28,0,0,22,4,0,4,14,2.6487853608247423,1.74332,3.2567372384772866
roelen,roelen,7.5,0,0.2549,301.56,0.003,0,9,0,0,9,6,2,3,39,9,0,0,30,6.787863744680851,5.54709,4.6056688943480895
hub5,hub5,74.0,0,0.7248,408.4,2.003,7,10,24,8,16,34,2,2,58,10,0,8,40,3.6080302898550727,1.94758,4.166014077080021
hub1,hub1,9.0,0,0.336,134.33,-0.001,4,5,2,0,4,3,0,1,18,5,0,0,13,2.695642340425532,0.88403,4.81541523412636
asb17,asb17,16.0,0,0.3013,322.66,2.003,8,10,4,0,8,4,4,2,46,8,0,0,38,5.571178258706468,4.71688,3.28343171619449
t6n3,t6n3,8.0,0,0.2572,191.64,0.004,4,4,2,0,2,2,1,0,15,4,0,0,11,2.040616712328767,0.55921,4.004189152126261
dcddc2,dcddc2,64.0,0,0.2309,406.08,0.002,10,12,22,4,18,28,0,0,22,4,0,4,14,4.411594357541898,3.34191,3.691546627870782
dcddc3,dcddc3,64.0,0,0.1379,452.88,0.005,10,12,22,4,18,28,0,0,22,4,0,4,14,2.030537415730337,0.90388,3.2022998885957046
hub2,hub2,9.0,0,0.3318,120.43,0.002,4,5,2,0,4,3,0,1,19,5,0,0,14,2.700296585365854,1.64633,2.895787139859724
davis,davis,40.0,0,0.2845,488.56,0.003,8,8,16,0,8,16,6,0,56,8,0,0,48,2.487922748091603,1.98074,2.1785803101491457
cyc2,cyc2,34.0,0,0.3254,223.06,0.0,4,6,10,4,10,16,0,0,22,4,0,4,14,2.258557669172932,1.48627,2.6949848843502857
asb18,asb18,16.0,0,0.3239,330.06,2.003,8,10,4,0,8,4,2,2,32,8,0,0,24,2.461746560509554,1.37669,2.702989811834039
M1,M1,74.0,0,0.9141,390.1,0.007,8,10,24,8,16,34,2,2,58,10,0,8,40,2.098192950819672,0.85111,3.954158397023148
M6,M6,70.0,0,0.6592,344.02,-0.003,6,6,22,10,14,32,3,0,54,6,0,10,38,2.102971809523809,1.25307,2.447523126054771
M3,M3,74.0,0,1.3442,438.3,0.0,8,10,24,8,16,34,4,2,70,10,0,8,52,2.5120580530973453,1.9094,2.1740960650934027
M5,M5,111.0,0,0.6215,556.65,-0.002,12,15,36,12,24,51,2,3,81,15,0,12,54,1.6259281714285714,0.91902,2.426594468432563
asb3,asb3,24.0,0,0.1624,239.46,2.007,2,6,8,0,4,12,2,2,24,6,0,0,18,1.918669846153846,0.47169,4.212397779949632
asb5,asb5,20.0,0,0.1033,281.76,3.999,4,8,6,0,4,10,2,4,30,8,0,0,22,3.437728897637795,2.75719,2.4154361734201344
asb6,asb6,20.0,0,0.0977,291.96,4.004,4,8,6,0,4,10,4,4,30,8,0,0,22,4.839385668202765,4.072,2.901901237407778
asb7,asb7,20.0,0,0.1613,218.68,1.997,2,6,6,0,4,10,2,2,24,6,0,0,18,1.6249550666666668,0.66948,3.0443562505069925
asb8,asb8,20.0,0,0.2792,281.76,3.998,4,8,6,0,4,10,2,4,42,8,0,0,34,5.446742180094787,4.70671,2.653834514078756
asb4,asb4,24.0,0,0.3355,302.54,4.007,4,8,8,0,4,12,2,4,42,8,0,0,34,2.8498502439024382,2.03687,2.3304768871852857
asb9,asb9,16.0,0,0.1409,288.78,4.0,4,8,4,0,4,8,2,4,30,8,0,0,22,5.262562015810276,4.74233,3.0377354878403864
asb12,asb12,16.0,0,0.3046,288.78,4.002,4,8,4,0,4,8,2,4,42,8,0,0,34,6.1696191633466135,5.42624,2.9103309774637927
asb10,asb10,16.0,0,0.1084,298.98,4.002,4,8,4,0,4,8,4,4,30,8,0,0,22,8.960353095975233,6.90275,6.22751104818632
asb11,asb11,16.0,0,0.1676,225.7,1.996,2,6,4,0,4,8,2,2,24,6,0,0,18,2.766845259259259,2.16217,2.2643015580657555
asb13,asb13,16.0,0,0.2562,302.68,4.001,4,8,4,0,4,8,2,4,36,8,0,0,28,2.377468828828829,2.03129,2.225942075228689
asb14,asb14,16.0,0,0.278,312.88,4.006,4,8,4,0,4,8,4,4,36,8,0,0,28,3.461130754716981,2.81294,2.8788002174719267
asb15,asb15,16.0,0,0.2943,239.6,2.002,2,6,4,0,4,8,2,2,30,6,0,0,24,2.6530203773584904,1.98524,2.8688013970402757
asb16,asb16,16.0,0,0.3859,302.68,4.002,4,8,4,0,4,8,2,4,48,8,0,0,40,5.459636772486772,4.77467,2.4014686761222728
asb1,asb1,24.0,0,0.1455,302.54,3.998,4,8,8,0,4,12,2,4,30,8,0,0,22,1.8046562831858408,0.8923299999999998,3.3401232629957915
asb2,asb2,24.0,0,0.0983,312.74,4.004,4,8,8,0,4,12,4,4,30,8,0,0,22,4.049764883720931,3.41859,2.52134438566705
1,1,3.0,0,0.0002,93.96,-0.003,0,4,0,0,2,2,0,4,16,4,0,0,12,2.4047573043478265,1.87382,2.6013392211976947
10,10,4.0,0,0.4351,174.36,4.012,0,4,0,0,0,4,2,4,40,4,0,0,36,4.72986466367713,4.09507,2.685059493862963
100,100,18.0,0,0.4165,271.08,0.006,6,6,6,0,6,6,9,0,66,6,0,0,60,1.7667561224489794,0.90516,2.3848932053389524
stoddart,H34,56.0,0,0.8562,456.72,8.0,0,8,0,0,0,8,9,6,105,8,0,0,97,3.180159148678636,2.45429,2.5432487325678226
davis3water,H35,69.0,0,0.0564,453.0,-6.004,6,6,24,0,6,24,6,0,26,4,0,0,22,4.260735347255484,3.03136,3.430774202834052
101,101,20.0,0,0.2642,309.38,-0.0,0,4,8,0,0,12,4,0,46,4,8,0,34,11.213462033542976,10.68444,5.715950817984408
102,102,20.0,0,0.4217,309.38,0.002,0,4,8,0,0,12,4,0,58,4,8,0,46,11.391757278350516,10.75813,5.618520894019825
103,103,40.0,0,0.4776,385.16,-0.005,8,8,16,0,8,16,0,0,64,8,12,0,44,13.952888614318704,13.21192,4.0274479070656986
104,104,24.0,0,0.1775,313.96,0.004,8,4,10,0,0,10,4,4,32,4,0,0,28,7.325147188498402,6.75304,3.769903742049303
105,105,30.0,0,0.1731,232.62,0.001,0,6,12,0,12,18,6,0,36,6,0,0,30,8.939551622911695,8.34389,5.155029340672746
106,106,20.0,0,0.2125,187.98,-0.0,4,4,8,0,6,8,4,0,30,4,0,0,26,4.45235847715736,3.73062,2.832451087146766
107,H23,2.5,0,0.3509,387.7,-0.002,0,5,0,0,0,5,10,0,65,5,0,0,60,11.720915824634654,10.98299,5.314367634123884
davis2water,H33,229.5,0,0.4633,1207.55,-27.002,18,18,72,0,18,72,11,0,59,6,0,0,53,4.127576437900128,2.85524,3.164957280341256
11,11,4.0,0,0.7693,183.16,0.001,0,4,0,0,0,4,2,4,40,4,0,0,36,2.377955913978494,1.46459,3.16481439069378
roelen1water,H32,235.5,0,0.2487,1253.79,-26.9909,24,24,72,0,24,72,5,0,42,12,0,0,30,5.002593818405543,3.03786,4.0575484313686925
110,110,62.0,0,0.4688,330.84,3.998,0,8,8,0,0,16,6,8,74,8,0,0,66,11.813260383838385,10.88863,5.113208764292855
111,111,20.0,0,0.3837,271.88,-0.001,8,4,8,0,0,8,10,4,48,4,0,0,44,2.70392761589404,1.72801,2.60059804396994
119,119,14.0,0,0.2912,222.7,-0.005,4,6,4,0,6,6,4,0,36,6,0,0,30,10.623063762781186,10.15906,6.155664821669253
12,H3,40.0,4,0.9009,257.12,0.002,4,8,12,4,8,20,4,0,48,8,0,4,36,1.769043333333333,0.66438,3.416921243964661
120,120,10.0,0,0.3212,215.82,0.002,4,6,2,0,4,4,4,0,36,6,0,0,30,9.485606340326338,8.75018,5.550657199307412
121,121,12.0,0,0.2867,262.11,-0.001,6,6,3,0,0,3,3,3,33,6,0,0,27,2.935306616541353,2.33169,2.3641182234674005
122,122,12.0,0,0.2867,262.11,-0.001,6,6,3,0,0,3,3,3,33,6,0,0,27,2.935306616541353,2.33169,2.3641182234674005
123,123,12.0,0,0.211,262.11,0.001,6,6,3,0,0,3,3,3,24,6,0,0,18,2.6969465185185184,2.0432,2.761809383043772
124,124,12.0,0,0.1855,259.53,-0.0,0,6,0,3,0,3,3,3,24,6,0,0,18,2.1473171428571427,1.03287,3.657407067408836
125,125,15.0,0,0.3222,168.63,-0.004,3,3,3,3,3,6,2,0,33,3,0,3,27,2.364155913978496,1.46768,2.466547478359277
126,126,21.0,0,0.204,303.45,-0.004,6,9,6,0,6,9,2,3,39,9,0,0,30,3.382127863247862,2.41402,2.995860821697028
128,128,20.0,0,0.4143,229.16,-0.001,6,8,6,0,6,8,3,0,35,8,0,0,27,1.7627802197802198,1.02338,2.28489446001052
129,129,23.0,0,0.4742,224.03,0.0,6,11,6,0,6,11,0,3,35,11,0,0,24,2.5533098039215685,0.8695399999999999,4.544831971608938
13,H4,4.0,0,0.422,222.56,3.996,0,4,0,0,0,4,4,4,52,4,0,0,48,7.242664281345566,6.7481,3.9879221049359423
130,130,23.0,0,0.5189,237.93,0.001,6,11,6,0,6,11,0,3,37,11,0,0,26,5.072597777777777,1.39504,6.677196369408309
131,131,16.0,0,0.474,249.83,-0.005,4,6,4,1,6,5,4,0,49,6,0,0,43,3.8295713609467454,2.76685,2.685960853508884
132,132,17.0,0,0.0574,284.64,0.003,4,4,7,0,4,7,6,0,24,4,2,0,18,10.83965515274949,10.56026,6.147125183559719
133,H24,18.0,0,0.5016,369.3,0.003,2,2,8,0,6,8,0,0,32,2,0,0,30,1.9087366355140187,1.23183,2.679401360163613
135,135,18.0,0,0.0293,407.82,0.001,0,14,4,0,8,10,4,6,42,14,0,0,28,12.036899185336049,11.35027,5.117525059845629
136,136,28.0,0,0.0689,235.0,-0.012,8,12,8,0,8,12,0,4,36,12,0,0,24,11.288310231578947,10.71795,5.69940736948888
137,137,34.5,0,0.0931,204.75,0.006,0,9,6,0,3,12,0,9,30,9,6,0,15,10.610553841336117,10.47101,6.439779812225317
138,138,14.0,0,0.0952,173.1,-0.002,4,6,4,0,4,6,2,0,24,6,0,0,18,8.643358773333333,7.78643,5.4487962688039975
139,139,16.0,0,0.0958,169.68,0.002,4,8,4,0,4,8,0,2,24,8,0,0,16,5.419908921161825,4.82318,3.2364033971747834
14,14,32.0,0,0.447,270.76,4.004,0,4,0,0,0,4,6,4,64,4,0,0,60,11.103890790020792,10.44617,5.731600660483444
140,140,24.0,0,0.6009,334.4,0.005,4,16,4,0,8,16,0,3,52,16,0,0,36,1.51284776,0.9301,1.8572602827738989
141,141,12.0,0,0.0964,191.4,2.001,4,6,4,0,4,4,2,0,24,6,0,0,18,8.70589197492163,6.69473,6.428991731904572
142,142,14.0,0,0.0976,187.98,2.006,4,8,4,0,4,6,0,2,24,8,0,0,16,8.855187073954983,7.14457,6.451556425520291
143,143,21.0,0,0.8248,284.03,1.999,6,11,6,0,6,9,0,3,41,11,0,0,30,1.6369896103896104,0.8306099999999998,2.981630709433164
147,147,24.0,0,0.113,214.58,0.002,0,0,12,0,2,12,2,0,32,0,10,0,22,11.04144152400835,10.47726,5.876022787510758
149,149,16.0,0,0.1508,159.12,4.0,0,0,8,0,0,8,2,0,24,0,8,0,16,5.810403828996282,5.2421,3.4396170011709257
15,15,4.0,0,0.4455,318.96,3.996,0,4,0,0,0,4,8,4,76,4,0,0,72,10.109519955456571,9.3078,5.59275496420225
150,150,4.0,0,0.4387,174.36,-0.004,0,4,0,0,0,4,2,4,40,4,0,0,36,10.41608804040404,9.94358,6.274373152812522
151,151,36.0,0,0.0846,351.2,0.002,0,0,16,2,2,18,4,0,54,0,16,0,38,12.683056609071276,11.90154,4.727389940054429
152,152,18.0,0,0.0901,183.5,-0.002,0,2,8,0,0,10,0,2,30,2,8,0,20,10.870314696016772,10.47042,6.070836991602612
153,153,17.0,0,0.3731,171.96,-0.004,0,2,4,4,0,10,1,2,34,2,4,4,24,7.53381054200542,6.87381,4.093801673934534
154,154,21.0,0,0.3694,206.64,0.0,0,2,6,4,0,12,1,2,40,2,6,4,28,10.514457178947367,9.82989,5.510849214159479
155,155,25.0,0,0.3337,241.32,0.003,0,2,8,4,0,14,1,2,46,2,8,4,32,11.496342985685072,10.86287,5.481987352631856
158,158,48.0,0,0.1183,396.76,0.003,0,0,24,0,12,24,8,0,28,0,0,0,28,10.733397296222664,10.33432,6.013921277868231
159,159,39.0,0,0.0583,287.46,3.997,0,4,0,0,0,4,7,4,25,4,0,0,21,2.5657534883720934,1.70482,2.7674133252791844
16,16,44.0,0,0.4353,367.16,3.988,0,4,0,0,0,4,10,4,88,4,0,0,84,8.516730960960963,7.84128,3.4901566855713964
160,160,20.0,0,0.2691,230.04,-0.001,2,2,9,0,2,9,3,0,38,2,7,0,29,11.04672463768116,10.45835,5.8091514270102325
161,161,16.0,0,0.3866,222.62,-0.003,0,0,8,0,0,8,5,0,48,0,6,0,42,11.237103430353429,10.58135,5.7026371247108685
162,162,32.0,0,0.3053,395.64,0.001,0,0,16,0,0,16,4,0,48,0,16,0,32,1.8463208641975308,0.83631,2.997474727513473
163,163,7.0,0,0.3502,160.52,3.998,0,4,0,2,0,6,0,4,34,4,0,2,28,10.326794077079104,9.85423,6.29720690827479
164,164,4.0,0,0.3284,174.36,4.001,0,4,0,0,0,4,2,4,34,4,0,0,30,5.640644181184669,5.09632,3.871677452353792
165,165,6.0,0,0.3327,170.94,4.002,0,6,0,0,0,6,0,6,34,6,0,0,28,8.480702441558442,7.3013,6.136647934933442
166,166,24.0,0,0.4279,237.98,0.003,0,0,12,0,0,12,2,0,44,0,12,0,32,5.721333554006968,5.17874,3.273255727352068
167,167,14.0,0,0.1944,320.88,-0.002,0,0,7,0,0,7,3,0,29,0,5,0,24,1.4471629850746268,0.27864,3.422643008238636
168,168,12.0,0,0.2255,337.14,0.005,0,0,6,0,2,6,6,0,30,0,4,0,26,1.7360378640776704,1.20587,3.056330091017578
170,170,5.0,0,0.0495,323.95,0.001,0,5,0,0,0,5,5,0,25,0,0,0,25,3.2143470322580647,2.43112,2.77085501362379
171,H25,16.0,0,0.3509,159.12,-0.003,0,0,8,0,0,8,2,0,32,0,8,0,24,5.942151872659176,5.39216,3.1628302564770023
172,H26,20.0,0,0.3521,189.65,0.005,0,0,10,0,10,10,5,0,35,0,0,0,35,7.789875208845207,7.14078,4.723590415783315
173,173,24.0,0,0.4194,227.58,0.003,0,0,12,0,12,12,6,0,42,0,0,0,42,10.518059960707268,9.79337,6.041349021775847
174,H27,28.0,0,0.3811,265.51,0.003,0,0,14,0,14,14,7,0,49,0,0,0,49,10.856660594059408,10.09679,5.804229855399776
175,175,32.0,0,0.4646,303.44,-0.001,0,0,16,0,16,16,8,0,56,0,0,0,56,11.156356838966202,10.28056,5.524196368905038
176,H28,36.0,0,0.3649,341.37,0.001,0,0,18,0,18,18,9,0,63,0,0,0,63,11.495083360160969,10.63323,5.362786256873346
177,177,12.0,0,0.1788,462.92,0.004,0,4,4,0,0,8,6,4,50,4,0,0,46,11.80795486257928,11.20359,5.451730612042299
178,178,6.0,0,0.0053,134.34,0.006,0,6,0,0,0,6,0,6,18,0,0,0,18,10.525943615221989,10.29438,6.4154815484897565
179,179,18.0,0,0.0354,196.68,-0.004,0,6,6,0,6,12,6,0,27,6,0,0,21,11.061516845360826,10.60836,5.916082170549611
18,18,10.0,0,0.6974,273.0,0.001,0,10,0,0,6,10,6,4,62,10,0,0,52,1.6333327710843373,0.94015,2.240426489560335
180,180,12.0,0,0.0526,164.02,-0.002,4,4,4,0,4,4,2,0,20,4,0,0,16,10.538249433962266,10.30427,6.39942366327583
181,181,13.0,0,0.0656,147.71,-0.001,4,5,4,0,4,5,1,1,20,5,0,0,15,8.799876986666668,7.851549999999999,5.925168601917506
182,182,17.0,0,0.0264,347.72,0.002,0,10,0,4,10,4,6,2,32,10,0,0,22,11.286211704781705,10.79125,5.647992299232388
183,H29,17.0,0,0.1381,347.72,-0.002,0,10,0,4,10,4,6,2,38,10,0,0,28,11.24923206185567,10.81608,5.762980867207228
184,184,14.0,4,0.2727,96.78,0.001,2,6,2,2,2,8,1,1,19,6,0,2,11,2.107531647058824,1.10629,3.523271412481119
185,H30,16.0,8,0.4337,124.28,-0.0,0,8,4,0,0,12,2,2,32,8,4,0,20,7.8253293023255805,7.17298,5.105751576538194
186,186,16.0,8,0.3022,124.28,0.004,0,8,4,0,0,12,2,2,26,8,4,0,14,2.6510734306569343,1.8538,3.109366244308855
187,187,16.0,8,0.2887,124.28,0.0,0,8,4,0,0,12,2,2,24,8,4,0,12,1.784202098765432,0.98811,2.6962845422020685
